"vertices","async","n^2.3 log(n)"
31,3.580,13.384
32,9.037,14.531
33,4.172,15.735
34,4.374,16.998
35,5.296,18.319
36,5.168,19.700
37,6.228,21.142
38,6.432,22.645
39,6.925,24.211
40,11.530,25.840
41,8.960,27.533
42,9.357,29.291
43,10.083,31.115
44,13.251,33.005
45,10.623,34.962
